Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,M,193974.9,0,3585.42,15
IT,IT - Cybersecurity,Cybersecurity - Network Security,F,107808.52,0,14780.41,N21
IT,IT - Data Analytics,Data Analytics - Data Science,M,177226.99,0,956.15,N17
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,F,134815.61,0,0,7
IT,IT - IT Support,IT Support - Backend Dev,M,113619.22,75936.4,0,13
IT,IT - Data Analytics,Data Analytics - Network Security,F,186623.8,0,10294.1,N27
IT,IT - Software Engineering,Software Engineering - Data Science,F,183467.09,0,0,8
IT,IT - IT Support,IT Support - Frontend Dev,F,156439.83,0,0,N23
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Dev Ops,F,139779.66,0,16891.6,N16
IT,IT - Software Engineering,Software Engineering - Data Science,F,167628.72,64274.66,20019.64,EX2
IT,IT - Software Engineering,Software Engineering - Data Science,F,57348.26,0,0,N27
IT,IT - Cybersecurity,Cybersecurity - Dev Ops,M,90216.79,0,17571.32,12
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,M,86892.78,0,14930.88,M3
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,M,147827.86,0,0,9
IT,IT - Data Analytics,Data Analytics - QA Testing,M,78413.66,0,9189.64,N24
IT,IT - Software Engineering,Software Engineering - Data Science,M,163511.41,0,8616.96,N20
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Network Security,F,174755.87,0,0,10
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,F,116775.11,0,0,N18
IT,IT - Software Engineering,Software Engineering - QA Testing,M,131684.78,0,7473.46,7
IT,IT - Cybersecurity,Cybersecurity - Dev Ops,F,123313.17,27340.41,0,N24
IT,IT - Software Engineering,Software Engineering - Data Science,M,87330.1,20126.65,0,7
IT,IT - Software Engineering,Software Engineering - Network Security,M,272101.21,78140.89,0,EX1
IT,IT - IT Support,IT Support - Dev Ops,M,126332.05,39411.49,0,N24
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,F,126004.73,0,13006.38,10
IT,IT - Cybersecurity,Cybersecurity - Dev Ops,M,139114.5,3741.62,0,N28
IT,IT - Cybersecurity,Cybersecurity - Frontend Dev,M,207473.09,0,19102.61,22
IT,IT - Software Engineering,Software Engineering - Backend Dev,F,194493.6,43545.11,0,11
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Frontend Dev,F,169175.74,0,2341.48,16
IT,IT - IT Support,IT Support - Network Security,F,179347.2,0,14858.68,7
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,F,224331.8,0,0,N28
IT,IT - Cloud Infrastructure,Cloud Infrastructure - QA Testing,M,146388.65,0,0,22
IT,IT - Data Analytics,Data Analytics - Frontend Dev,F,156274.94,0,857.51,18
IT,IT - IT Support,IT Support - Data Science,F,181640.9,0,0,N25
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Backend Dev,M,179791.39,47394.73,0,12
IT,IT - Cybersecurity,Cybersecurity - Backend Dev,F,143318.56,0,0,N25
IT,IT - IT Support,IT Support - Data Science,M,162405.18,0,0,21
IT,IT - Cloud Infrastructure,Cloud Infrastructure - Data Science,F,244332.83,0,805.72,EX2
IT,IT - IT Support,IT Support - Dev Ops,F,249656.24,0,0,M2
IT,IT - Software Engineering,Software Engineering - Backend Dev,F,146443.66,0,0,7
